Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,ACA.PA,BNP.PA,ORA.PA,ACA.PA,BNP.PA,ORA.PA,ACA.PA,BNP.PA,ORA.PA,ACA.PA,BNP.PA,ORA.PA,ACA.PA,BNP.PA,ORA.PA
Date,,,,,,,,,,,,,,,
2022-01-03,9.838483810424805,49.93932342529297,7.713045120239258,9.894095036134349,50.175964754273494,7.771154944193716,9.7318967327029,49.77612240141673,7.708134793673454,9.747343804338637,49.86588312018869,7.719593002858956,4846202,2177649,6450743
2022-01-04,10.07174015045166,51.61212921142578,7.767063617706299,10.1520669833356,52.01197158206363,7.80798613316484,9.89409477998358,50.30652718795666,7.743329198776636,9.89409477998358,50.33100625314647,7.743329198776636,6062208,3614427,8585931
2022-01-05,10.172149658203125,51.67741012573242,7.734323978424072,10.297273819812565,52.4444478015875,7.791615799071162,10.070196473945341,51.67741012573242,7.694220250343426,10.098002088722579,51.824287627559514,7.782612363816,6300320,3910434,9980707
2022-01-06,10.289549827575684,52.379173278808594,7.719592571258545,10.297273732157848,52.49341306709987,7.744964541759891,10.04084614008504,51.244927821114736,7.678670063370306,10.111904441738378,51.39180843828946,7.734324330664267,7442277,3645405,10120682
2022-01-07,10.393047332763672,52.63212966918945,7.717137336730957,10.440933915839986,52.64844697013239,7.7400537547676524,10.277190985494377,51.8895679642602,7.66721217164645,10.303451963787847,52.22412866400194,7.721229665742074,8210181,3446590,6559974
2022-01-10,10.44865894317627,52.2241325378418,7.8808274269104,10.640207505854566,52.958535646775545,7.933208151040563,10.439390404934409,52.08541367993257,7.720411703178037,10.453293580593243,52.79533149723375,7.771155651637262,6403245,3137609,13833998
2022-01-11,10.428576469421387,52.51789093017578,7.930751800537109,10.55679062521819,52.71372967339195,7.9831325194050535,10.428576469421387,51.91404806085773,7.876734306162659,10.496545499353768,52.43629197263582,7.882463410701405,4447851,2376607,7827674
2022-01-12,10.652565002441406,53.309417724609375,7.9782233238220215,10.769965992372862,53.578699906891785,7.997866193748429,10.478008887699797,52.78717688808692,7.933208478618342,10.498090597209544,52.917733984416614,7.971675440335864,6882544,3191797,8407252
2022-01-13,10.73443603515625,54.63949966430664,8.087894439697266,10.757607747437682,54.63949966430664,8.104263756802888,10.613945783024135,53.138058794218374,7.948758366427482,10.62012505361759,53.244136825604414,7.979040666434482,5653992,3697141,8804219
2022-01-14,10.641751289367676,54.1009407043457,8.157461166381836,10.692727877329698,54.45997738819446,8.183651132906764,10.501179329952878,53.5215737456952,8.055155292496293,10.66337763134041,54.14173707321846,8.078071708338575,7000816,3351548,8621755
2022-01-17,10.603132247924805,53.89693832397461,8.136181831359863,10.72980176630182,54.79453934103607,8.200839533226958,10.570692735754891,53.82349490157416,8.126360398411293,10.720533229025841,54.67213778743641,8.168100903043788,4331927,2175118,5586383
